mesa_id;fixture_index;rank;external_id;liga;date;hora;home;away;market_key;family;fair_prob;odd_final_curinga;market_odd;odd_real;closing_odd;settlement_result;brier_motor;clv_pct;edge_pct;confidence;certified_slot;weight_a;weight_b;fair_prob_a;fair_prob_b;pred_odd_motor_a;pred_odd_motor_b;divergence_pp;phantom_edge_flag;market_gate_reasons
mesa-2026-05-15-aston-villa-liverpool;1;1;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;asian_total_total_ht_under_1_25;asian_total;0.6441177792646395;1.5525;1.77;1.77;;;;;14.01;0.685;true;1;0;0.6441177792646395;;1.5525;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;2;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;handicap_total_ft_home_plus_2;handicap;0.9244388294264205;1.0817;1.23;1.23;;;;;13.71;0.685;true;1;0;0.9244388294264205;;1.0817;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;3;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;correct_score_total_ht_1_0;correct_score;0.22660443417837756;4.413;5;5;;;;;13.3;0.685;true;1;0;0.22660443417837756;;4.413;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;4;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;dupla_total_ht_1x;dupla;0.8177643001970796;1.2228;1.36;1.36;;;;;11.22;0.685;true;1;0;0.8177643001970796;;1.2228;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;5;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;cartoes_total_ft_under_2_5;cartoes;0.332407;3.0084;3.45;3.45;;;;;14.68;0.33830000000000005;false;0.75;0.25;0.3639088529945681;0.2379014492034912;2.7479;4.2034;12.6;false;
mesa-2026-05-15-aston-villa-liverpool;1;6;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_total_ft_over_7_5;escanteios;0.899104;1.1122;1.24;1.24;;;;;11.49;0.5696;false;0.75;0.25;0.9415011389037689;0.7719132900238037;1.0621;1.2955;16.96;false;
mesa-2026-05-15-aston-villa-liverpool;1;7;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;dupla_total_2t_1x;dupla;0.8026841643426936;1.2458;1.36;1.36;;;;;9.17;0.685;true;1;0;0.8026841643426936;;1.2458;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;8;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_total_ht_over_5_5;escanteios;0.4531073582644932;2.207;2.45;2.45;;;;;11.01;0.5557;true;1;0;0.4531073582644932;;2.207;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;9;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;cartoes_total_ft_under_4_5;cartoes;0.715277;1.3981;1.57;1.57;;;;;12.3;0.4883;false;0.75;0.25;0.7666307710751838;0.5612175464630127;1.3044;1.7818;20.54;false;
mesa-2026-05-15-aston-villa-liverpool;1;10;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_total_ht_over_4_5;escanteios;0.6259847403742993;1.5975;1.77;1.77;;;;;10.8;0.5557;true;1;0;0.6259847403742993;;1.5975;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;11;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;asian_total_total_ft_under_2_25;asian_total;0.4026435898464652;2.4836;2.7;2.7;;;;;8.71;0.685;true;1;0;0.4026435898464652;;2.4836;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;12;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;gols_total_ht_under_2_5;gols;0.8713065936568851;1.1477;1.29;1.29;;;;;12.4;0.437;true;1;0;0.8713065936568851;;1.1477;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;13;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;cartoes_away_ht_under_0_5;cartoes;0.5488116360940265;1.8221;2.02;2.02;;;;;10.86;0.4883;true;1;0;0.5488116360940265;;1.8221;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;14;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;gols_total_2t_over_0_5;gols;0.837526627981558;1.194;1.32;1.32;;;;;10.55;0.4616;true;1;0;0.837526627981558;;1.194;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;15;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_total_ht_over_3_5;escanteios;0.7861869255898509;1.272;1.37;1.37;;;;;7.71;0.5557;true;1;0;0.7861869255898509;;1.272;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;16;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_home_ht_over_2_5;escanteios;0.4961108653854045;2.0157;2.17;2.17;;;;;7.66;0.5418;true;1;0;0.4961108653854045;;2.0157;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;17;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_race_total_ft_home_7;escanteios_race;0.3385868931965093;2.9535;3.3;3.3;;;;;11.73;0.346;true;1;0;0.3385868931965093;;2.9535;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;18;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;asian_total_total_ft_over_3_75;asian_total;0.3736319072596072;2.6764;2.82;2.82;;;;;5.36;0.685;true;1;0;0.3736319072596072;;2.6764;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;19;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;asian_total_total_ht_over_1_75;asian_total;0.35588222073536047;2.8099;2.95;2.95;;;;;4.99;0.685;true;1;0;0.35588222073536047;;2.8099;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;20;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;asian_total_total_ft_over_2_75;asian_total;0.5973564101535348;1.674;1.75;1.75;;;;;4.54;0.685;true;1;0;0.5973564101535348;;1.674;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;21;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;gols_total_2t_over_2_5;gols;0.2843903095407353;3.5163;3.65;3.65;;;;;3.8;0.4616;true;1;0;0.2843903095407353;;3.5163;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;22;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;escanteios_race_total_ft_away_5;escanteios_race;0.48814780434042376;2.0486;2.17;2.17;;;;;5.93;0.2273;true;1;0;0.48814780434042376;;2.0486;;;false;
mesa-2026-05-15-aston-villa-liverpool;1;23;52q6oshpwx91dnjt9x0cx1iqc;premier-league;2026-05-15;16:00;Aston Villa;Liverpool;btts_total_ft_nao;btts;0.424595;2.3552;2.47;2.47;;;;;4.87;0.1983;true;0.55;0.45;0.4193876417701259;0.43095850944519043;2.3844;2.3204;1.16;false;
