sample,odds_range,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
all_joined,1.20-1.50,17522,12551,0.7162995091884488,1.3409184168473918,0.719101272972225,-0.040783813152827225,-0.02998081759611573,-0.04413075942624511,-773.2591666666667,0.7457575251677737
all_joined,1.30-1.70,19848,12732,0.6414752116082225,1.4869563683998388,0.6376682487538124,-0.0589930907560489,-0.039128514319519164,-0.05219279020556229,-1035.9225000000004,0.6725146892347164
all_joined,1.40-1.80,18864,11184,0.5928753180661578,1.5950841991800961,0.5874725977297915,-0.06897413208693762,-0.043168768744070184,-0.060465878569409125,-1140.6283333333338,0.6269261525592311
all_joined,1.50-2.00,21290,11498,0.5400657585720996,1.7435246359793328,0.5348122454708013,-0.07410907992728387,-0.04276644740730559,-0.06518370909660247,-1387.7611666666664,0.5735508288004791
all_joined,1.60-2.20,22212,11176,0.5031514496668468,1.867980400984453,0.5004003496099508,-0.07260609779417436,-0.039310258544314754,-0.0685294210336755,-1522.1755000000003,0.5353375225312779
all_joined,1.70-2.50,22932,10674,0.4654631083202512,2.014418156578871,0.4661287245757907,-0.07176747663605199,-0.03611722055600761,-0.07344863800220941,-1684.3241666666663,0.49642126027017214
all_joined,2.00-3.00,17762,6862,0.3863303682017791,2.405401184175956,0.3908342592619328,-0.07473282264471529,-0.031110762862299402,-0.08423807379048907,-1496.236666666667,0.4157310666422494
all_joined,2.50-4.00,14521,4215,0.29026926520212104,3.120059052406859,0.2885185371871545,-0.12310192742890963,-0.03842962391747793,-0.11609206207102357,-1685.7728333333332,0.32050675426434166
value_ev_gt_0,1.20-1.50,7189,5184,0.7211016831269996,1.336328186581351,0.814102962364195,0.0840873578217284,0.06245562842306342,-0.04112486669448694,-295.64666666666665,0.7483191704264209
value_ev_gt_0,1.30-1.70,7574,4950,0.6535516239767626,1.4801091453217146,0.7542997831464716,0.11113263578588625,0.07426592758166584,-0.03813528738667371,-288.8366666666667,0.6756258504048641
value_ev_gt_0,1.40-1.80,6987,4226,0.6048375554601403,1.5945121893039453,0.7126854435869802,0.13121138368357368,0.08170977262434954,-0.04184223080959879,-292.35166666666674,0.6271510539135681
value_ev_gt_0,1.50-2.00,7969,4369,0.5482494666833981,1.748890764211319,0.6632469678618728,0.15331815411048796,0.08740563740195689,-0.049452126992094364,-394.084,0.5717910005951462
value_ev_gt_0,1.60-2.20,8606,4381,0.5090634441087614,1.8758489232318538,0.6277556837385159,0.16960580534205694,0.09030906865046445,-0.053707936323495256,-462.2105000000002,0.533091971115203
value_ev_gt_0,1.70-2.50,9004,4250,0.47201243891603734,2.0173933622093885,0.5928234764001116,0.1849684873439682,0.09147065920409565,-0.056554586850288774,-509.21750000000014,0.49568914953939874
value_ev_gt_0,2.00-3.00,6907,2780,0.40249022730563194,2.3895118961440085,0.5179788265559276,0.2232747767667008,0.09332438876234862,-0.04992828531441533,-344.8546666666667,0.4184955101557415
value_ev_gt_0,2.50-4.00,4670,1432,0.30663811563169163,3.0610332976445394,0.4179130565713902,0.2547927165349356,0.08490705103509733,-0.08503183440399716,-397.0986666666667,0.32668707026790544
value_ev_ge_3_edge_ge_2pp,1.20-1.50,5560,4029,0.7246402877697842,1.3387661870503598,0.8277914537537376,0.10441704255760989,0.07749680818205942,-0.03470503597122302,-192.96,0.746956421272674
value_ev_ge_3_edge_ge_2pp,1.30-1.70,6187,4052,0.6549216098270567,1.4858550185873607,0.766029080153616,0.13265824728594908,0.08857755828127718,-0.03222886697914983,-199.4,0.6730131725440648
value_ev_ge_3_edge_ge_2pp,1.40-1.80,5853,3554,0.607209977789168,1.5976769747707729,0.7252559535254423,0.15355236333307418,0.09558634930792723,-0.0365601685745202,-213.98666666666674,0.6259087511375541
value_ev_ge_3_edge_ge_2pp,1.50-2.00,6750,3710,0.5496296296296296,1.7485749876543208,0.677219314189266,0.17778507308303626,0.10135657595631581,-0.04708271604938273,-317.80833333333345,0.5718942607897419
value_ev_ge_3_edge_ge_2pp,1.60-2.20,7362,3742,0.5082857919043738,1.8747198904283255,0.6416651052516584,0.19500689517111974,0.10384149836105383,-0.05612732047450874,-413.20933333333335,0.533413020849491
value_ev_ge_3_edge_ge_2pp,1.70-2.50,7628,3583,0.4697168327215522,2.017018724873274,0.6075328293987436,0.21459333994340116,0.10612142649579157,-0.06155667715434365,-469.5543333333334,0.4957812179273786
value_ev_ge_3_edge_ge_2pp,2.00-3.00,5826,2329,0.3997596979059389,2.3865171930426823,0.5338709102417823,0.2601501487515821,0.10873808578715088,-0.056842201624899884,-331.1626666666667,0.41902065609049866
value_ev_ge_3_edge_ge_2pp,2.50-4.00,3767,1146,0.3042208654101407,3.043853464295195,0.4377070100371812,0.3085784475670333,0.10292317214721554,-0.09736771082205113,-366.78416666666664,0.3285309269089766
