market_key,family,direction,mercado,selecao,linha,all_n,all_wins,all_hit_rate,all_avg_odd,all_avg_fair_prob,all_profit,all_roi,all_roi_ci_low,all_roi_ci_high,all_breakeven,value_n,value_wins,value_hit_rate,value_avg_odd,value_avg_fair_prob,value_avg_ev,value_avg_edge,value_profit,value_roi,value_roi_ci_low,value_roi_ci_high,value_breakeven
chutes_alvo_total_ft_over_10_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 10.5,10.5,232,89,0.38362068965517243,2.750215517241379,0.27796921316459805,0.9500000000000013,0.004094827586206902,-0.1665277217272286,0.17471737689964242,0.3636078677219654,4,3,0.75,3.3625,0.32684496850552336,0.0954457616727617,0.028362378978157757,6.2,1.55,0.09436182380373115,3.005638176196269,0.29739776951672864
chutes_alvo_total_ft_under_6_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 6.5,6.5,233,69,0.296137339055794,3.003476394849786,0.24836146332825193,-33.91,-0.14553648068669525,-0.31727748026441227,0.026204518891021794,0.33294751432531683,3,2,0.6666666666666666,3.59,0.30672979866883515,0.07846090816694525,0.021782361282373357,3.77,1.2566666666666666,-0.6106860294922172,3.1240193628255506,0.2785515320334262
chutes_alvo_total_ft_under_7_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 7.5,7.5,517,226,0.437137330754352,2.275396518375242,0.3843532026654401,-6.979999999999999,-0.013500967117988392,-0.11179518017701667,0.0847932459410399,0.43948384025569964,44,24,0.5454545454545454,2.555,0.4364100794141495,0.09834655263714578,0.03854171657514687,18.73,0.4256818181818182,0.032660426855346814,0.8187032095082896,0.3913894324853229
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 8.5,8.5,624,311,0.4983974358974359,1.8733653846153846,0.510962869971629,-53.06,-0.08503205128205128,-0.15838096564519336,-0.01168313691890921,0.5337986962993378,165,85,0.5151515151515151,2.0721818181818183,0.5530225931710037,0.1325671714224768,0.06259116969893784,8.25,0.05,-0.107963315474868,0.20796331547486802,0.48258313591295954
chutes_alvo_total_ft_over_6_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 6.5,6.5,209,144,0.6889952153110048,1.3352153110047846,0.7497349521078873,-18.0,-0.0861244019138756,-0.17017158285574047,-0.0020772209720107265,0.7489428796674551,54,39,0.7222222222222222,1.4220370370370372,0.764381477085826,0.08281629882360304,0.05718149603648769,1.1300000000000012,0.02092592592592595,-0.14994003561555216,0.19179188746740408,0.7032165646568562
chutes_alvo_total_ft_under_9_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 9.5,9.5,475,287,0.6042105263157894,1.5812842105263158,0.6208859425604883,-32.190000000000005,-0.06776842105263159,-0.1369147427720026,0.001377900666739415,0.6323973852032325,134,77,0.5746268656716418,1.8297761194029851,0.6350372125485133,0.15194995237968148,0.07825466070377944,0.11999999999999966,0.000895522388059699,-0.14707219060501803,0.14886323538113744,0.5465149475916636
chutes_alvo_total_ht_under_4_5,chutes_alvo,under,1º Tempo - Total de Chutes no Gol,Menos de 4.5,4.5,154,89,0.577922077922078,1.700194805194805,0.7172876674693599,-4.59,-0.029805194805194803,-0.1614569394319209,0.1018465498215313,0.5881678951991751,154,89,0.577922077922078,1.700194805194805,0.7172876674693599,0.21891172230818087,0.12619796241038064,-4.59,-0.029805194805194803,-0.1614569394319209,0.1018465498215313,0.5881678951991751
chutes_alvo_total_ht_under_3_5,chutes_alvo,under,1º Tempo - Total de Chutes no Gol,Menos de 3.5,3.5,571,275,0.4816112084063047,1.9537828371278456,0.563860746825911,-37.57,-0.0657968476357268,-0.14583106637966897,0.014237371108215366,0.5118276100070814,406,195,0.4802955665024631,1.9939408866995072,0.5743797652736043,0.141417928094974,0.0701223989877756,-19.740000000000002,-0.04862068965517242,-0.14546250546715406,0.048221126156809214,0.5015193813770784
chutes_alvo_total_ft_over_7_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 7.5,7.5,516,290,0.562015503875969,1.575406976744186,0.6154544901751137,-61.35,-0.1188953488372093,-0.1869490732579414,-0.0508416244164772,0.6347566151234454,105,58,0.5523809523809524,1.709047619047619,0.6473278656840805,0.10169266366008343,0.058014274253715935,-5.51,-0.052476190476190475,-0.21709074532523215,0.11213836437285118,0.5851212036779048
chutes_alvo_total_ft_over_9_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 9.5,9.5,477,188,0.3941299790356394,2.3047589098532497,0.37888536127689865,-59.63999999999999,-0.1250314465408805,-0.22480445949007982,-0.025258433591681187,0.4338848613296706,48,16,0.3333333333333333,2.830625,0.4057681045069741,0.13774402610002076,0.04699030030025118,-3.4899999999999993,-0.07270833333333332,-0.4478641203700847,0.3024474537034181,0.3532788695076176
chutes_alvo_total_ft_over_8_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 8.5,8.5,624,313,0.5016025641025641,1.8809294871794873,0.48903713002837107,-46.400000000000006,-0.07435897435897437,-0.14799223597000868,-0.0007257127479400605,0.5316520405555082,104,44,0.4230769230769231,2.156057692307692,0.5271291072360504,0.13015058622025005,0.058751055715670485,-9.59,-0.09221153846153846,-0.29740209804680906,0.11297902112373212,0.4638094813361281
chutes_alvo_total_ft_under_11_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 11.5,11.5,37,23,0.6216216216216216,1.402972972972973,0.7954477510562186,-5.830000000000001,-0.1575675675675676,-0.374051984133373,0.05891684899823779,0.7127721055673281,23,13,0.5652173913043478,1.4978260869565219,0.7982870497368026,0.1937123647283153,0.1210569100862355,-4.130000000000001,-0.17956521739130438,-0.47897668426908474,0.11984624948647599,0.6676342525399128
chutes_alvo_total_ft_under_10_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 10.5,10.5,221,138,0.6244343891402715,1.426787330316742,0.7210655256842352,-30.03,-0.13588235294117648,-0.22599042909006,-0.04577427679229294,0.7008753012812382,84,44,0.5238095238095238,1.6086904761904761,0.7273391534166753,0.16561101979283177,0.0957574731468456,-16.02,-0.1907142857142857,-0.3583729435747003,-0.023055627853871108,0.6216236216976245
chutes_alvo_total_ft_over_11_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 11.5,11.5,37,14,0.3783783783783784,2.7794594594594595,0.2045522489437814,-1.8900000000000006,-0.051081081081081094,-0.45164628493637415,0.3494841227742119,0.35978218591987554,0,0,,,,,,0.0,,,,
chutes_alvo_total_ht_over_3_5,chutes_alvo,over,1º Tempo - Total de Chutes no Gol,Mais de 3.5,3.5,571,296,0.5183887915936952,1.7685113835376534,0.43613925317408897,-51.330000000000005,-0.08989492119089318,-0.16227005048619486,-0.017519791895591497,0.5654473074409301,0,0,,,,,,0.0,,,,
chutes_alvo_total_ht_over_4_5,chutes_alvo,over,1º Tempo - Total de Chutes no Gol,Mais de 4.5,4.5,154,65,0.42207792207792205,2.0359090909090907,0.28271233253064004,-23.94,-0.15545454545454546,-0.3123067155885048,0.0013976246794139002,0.4911810672025006,0,0,,,,,,0.0,,,,
